,title,author,pub_year,avg_rate,num_rate,shelved,series_name,series_num
0,Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,4.47,8827238,71462,Harry Potter,1.0
1,Harry Potter and the Chamber of Secrets,J.K. Rowling,1998,4.43,3409926,59741,Harry Potter,2.0
2,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,1999,4.58,3595393,59290,Harry Potter,3.0
3,The Hobbit,J.R.R. Tolkien,1937,4.28,3483329,58644,,
4,Harry Potter and the Goblet of Fire,J.K. Rowling,2000,4.57,3164528,57211,Harry Potter,4.0
5,Harry Potter and the Half-Blood Prince,J.K. Rowling,2005,4.58,2923256,54962,Harry Potter,6.0
6,Harry Potter and the Order of the Phoenix,J.K. Rowling,2003,4.5,3019296,54948,Harry Potter,5.0
7,A Game of Thrones,George R.R. Martin,1996,4.44,2281001,49589,A Song of Ice and Fire,1.0
8,The Fellowship of the Ring,J.R.R. Tolkien,1954,4.38,2617415,45975,The Lord of the Rings,1.0
9,A Clash of Kings,George R.R. Martin,1998,4.41,865168,34640,A Song of Ice and Fire,2.0
10,The Name of the Wind,Patrick Rothfuss,2007,4.52,854536,33511,The Kingkiller Chronicle,1.0
11,The Two Towers,J.R.R. Tolkien,1954,4.47,847263,33274,The Lord of the Rings,2.0
12,The Return of the King,J.R.R. Tolkien,1955,4.55,793098,31628,The Lord of the Rings,3.0
13,The Final Empire,Brandon Sanderson,2006,4.46,536486,29062,Mistborn,1.0
14,"The Lion, the Witch and the Wardrobe",C.S. Lewis,1950,4.23,2518695,28998,Chronicles of Narnia,1.0
15,A Storm of Swords,George R.R. Martin,2000,4.54,725092,28875,A Song of Ice and Fire,3.0
16,A Feast for Crows,George R.R. Martin,2005,4.15,683927,28609,A Song of Ice and Fire,4.0
17,Six of Crows,Leigh Bardugo,2015,4.49,711301,28212,Six of Crows,1.0
18,The Lightning Thief,Rick Riordan,2005,4.29,2549138,28160,Percy Jackson and the Olympians,1.0
19,The Golden Compass,Philip Pullman,1995,4.01,1430863,27539,His Dark Materials,1.0
20,A Court of Thorns and Roses,Sarah J. Maas,2015,4.2,1152398,27144,A Court of Thorns and Roses,1.0
21,Shadow and Bone,Leigh Bardugo,2012,3.95,778700,26534,The Shadow and Bone Trilogy,1.0
22,Eragon,Christopher Paolini,2002,3.93,1626768,26514,The Inheritance Cycle,1.0
23,A Dance with Dragons,George R.R. Martin,2011,4.33,608297,24421,A Song of Ice and Fire,5.0
24,American Gods,Neil Gaiman,2001,4.11,857116,24094,American Gods,1.0
25,City of Bones,Cassandra Clare,2007,4.08,1861995,22539,The Mortal Instruments,1.0
26,The Night Circus,Erin Morgenstern,2011,4.03,850826,22523,,
27,Twilight,Stephenie Meyer,2005,3.63,5911774,21771,The Twilight Saga,1.0
28,A Darker Shade of Magic,V.E. Schwab,2015,4.07,288899,20396,Shades of Magic,1.0
29,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,1990,4.25,651803,20380,,
30,The Cruel Prince,Holly Black,2018,4.09,728047,19711,The Folk of the Air,1.0
31,Stardust,Neil Gaiman,1998,4.1,411955,19658,,
32,The Way of Kings,Brandon Sanderson,2010,4.64,396802,19619,The Stormlight Archive,1.0
33,A Court of Mist and Fury,Sarah J. Maas,2016,4.62,825234,19576,A Court of Thorns and Roses,2.0
34,Neverwhere,Neil Gaiman,1996,4.17,485986,19328,London Below,1.0
35,The Wise Man's Fear,Patrick Rothfuss,2011,4.55,499952,18940,The Kingkiller Chronicle,2.0
36,The Sea of Monsters,Rick Riordan,2006,4.24,973020,18473,Percy Jackson and the Olympians,2.0
37,Crooked Kingdom,Leigh Bardugo,2016,4.61,479304,18383,Six of Crows,2.0
38,The Lies of Locke Lamora,Scott Lynch,2006,4.29,264258,18033,Gentleman Bastard,1.0
39,The Well of Ascension,Brandon Sanderson,2007,4.37,370091,17928,Mistborn,2.0
40,Assassin's Apprentice,Robin Hobb,1995,4.17,282637,17924,Farseer Trilogy,1.0
41,Harry Potter and the Cursed Child: Parts One and Two,John Tiffany,2016,3.52,894440,17804,Harry Potter,8.0
42,The Ocean at the End of the Lane,Neil Gaiman,2013,4.01,557712,17683,,
43,Graceling,Kristin Cashore,2008,4.07,433214,17196,Graceling Realm,1.0
44,Siege and Storm,Leigh Bardugo,2013,3.85,488552,17185,The Shadow and Bone Trilogy,2.0
45,The Princess Bride,William Goldman,1973,4.26,852541,16700,,
46,The Titan's Curse,Rick Riordan,2007,4.36,883095,16679,Percy Jackson and the Olympians,3.0
47,The Color of Magic,Terry Pratchett,1983,4.0,356919,16671,Discworld,1.0
48,Uprooted,Naomi Novik,2015,4.05,209539,16570,,
49,Crown of Midnight,Sarah J. Maas,2013,4.36,557633,16529,Throne of Glass,2.0
50,The Subtle Knife,Philip Pullman,1997,4.14,410751,16373,His Dark Materials,2.0
51,Red Queen,Victoria Aveyard,2015,4.03,835760,16221,Red Queen,1.0
52,A Wizard of Earthsea,Ursula K. Le Guin,1968,4.01,282038,16215,Earthsea Cycle,1.0
53,The Hero of Ages,Brandon Sanderson,2008,4.51,340428,16168,Mistborn,3.0
54,A Court of Wings and Ruin,Sarah J. Maas,2017,4.44,661918,16101,A Court of Thorns and Roses,3.0
55,The Battle of the Labyrinth,Rick Riordan,2008,4.41,925472,15992,Percy Jackson and the Olympians,4.0
56,Howl’s Moving Castle,Diana Wynne Jones,1986,4.29,284080,15774,Howl’s Moving Castle,1.0
57,The Hunger Games,Suzanne Collins,2008,4.32,7605969,15708,The Hunger Games,1.0
58,The Silmarillion,J.R.R. Tolkien,1977,3.97,254591,15648,,
59,The Magician's Nephew,C.S. Lewis,1955,4.05,486532,15605,Chronicles of Narnia,6.0
60,The Last Olympian,Rick Riordan,2009,4.53,848878,15435,Percy Jackson and the Olympians,5.0
61,The Last Wish,Andrzej Sapkowski,1993,4.14,289898,15386,The Witcher,0.5
62,New Moon,Stephenie Meyer,2006,3.58,1737737,15339,The Twilight Saga,2.0
63,The Fifth Season,N.K. Jemisin,2015,4.32,214766,15249,The Broken Earth,1.0
64,Eldest,Christopher Paolini,2005,4.01,404230,15142,The Inheritance Cycle,2.0
65,Ruin and Rising,Leigh Bardugo,2014,4.02,415688,15024,The Shadow and Bone Trilogy,3.0
66,City of Ashes,Cassandra Clare,2008,4.13,866138,15010,The Mortal Instruments,2.0
67,The Amber Spyglass,Philip Pullman,2000,4.1,337385,14778,His Dark Materials,3.0
68,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,2011,3.92,1156440,14739,Miss Peregrine's Peculiar Children,1.0
69,Heir of Fire,Sarah J. Maas,2014,4.46,475563,14498,Throne of Glass,3.0
70,Circe,Madeline Miller,2018,4.26,750857,14195,,
71,The Graveyard Book,Neil Gaiman,2008,4.15,496793,14189,,
72,Breaking Dawn,Stephenie Meyer,2008,3.72,1546618,14148,The Twilight Saga,4.0
73,The Invisible Life of Addie LaRue,V.E. Schwab,2020,4.22,693401,13996,,
74,City of Glass,Cassandra Clare,2009,4.29,901762,13951,The Mortal Instruments,3.0
75,Prince Caspian,C.S. Lewis,1951,3.98,399617,13947,Chronicles of Narnia,2.0
76,An Ember in the Ashes,Sabaa Tahir,2015,4.26,256254,13818,An Ember in the Ashes,1.0
77,The Great Hunt,Robert Jordan,1990,4.25,281531,13788,The Wheel of Time,2.0
78,A Wrinkle in Time,Madeleine L'Engle,1962,3.99,1131808,13704,Time Quintet,1.0
79,Daughter of Smoke & Bone,Laini Taylor,2011,4.0,351842,13689,Daughter of Smoke & Bone,1.0
80,The Blade Itself,Joe Abercrombie,2006,4.19,205840,13601,The First Law,1.0
81,The Voyage of the Dawn Treader,C.S. Lewis,1952,4.09,437878,13559,Chronicles of Narnia,3.0
82,Clockwork Angel,Cassandra Clare,2010,4.32,776436,13466,The Infernal Devices,1.0
83,The Wicked King,Holly Black,2019,4.34,450006,13265,The Folk of the Air,2.0
84,The Tales of Beedle the Bard,J.K. Rowling,2008,4.05,461617,13260,,
85,The Gunslinger,Stephen King,1982,3.94,565471,13036,The Dark Tower,1.0
86,Queen of Shadows,Sarah J. Maas,2015,4.56,414405,12842,Throne of Glass,4.0
87,The Bear and the Nightingale,Katherine Arden,2017,4.1,167388,12838,The Winternight Trilogy,1.0
88,The Chronicles of Narnia,C.S. Lewis,1956,4.27,598357,12763,Chronicles of Narnia,1.0
89,The House in the Cerulean Sea,T.J. Klune,2020,4.45,363497,12758,,
90,The Horse and His Boy,C.S. Lewis,1954,3.91,318213,12704,Chronicles of Narnia,5.0
91,Brisingr,Christopher Paolini,2008,4.07,340661,12697,The Inheritance Cycle,3.0
92,Jonathan Strange & Mr Norrell,Susanna Clarke,2004,3.84,222021,12504,,
93,The Poppy War,R.F. Kuang,2018,4.14,138199,12436,The Poppy War,1.0
94,The Dragon Reborn,Robert Jordan,1991,4.27,258546,12434,The Wheel of Time,3.0
95,The Raven Boys,Maggie Stiefvater,2012,4.05,332704,12393,The Raven Cycle,1.0
96,Coraline,Neil Gaiman,2002,4.09,596427,12310,,
97,Catching Fire,Suzanne Collins,2009,4.3,3070110,12113,The Hunger Games,2.0
98,Cinder,Marissa Meyer,2012,4.13,832561,12054,The Lunar Chronicles,1.0
99,Storm Front,Jim Butcher,2000,3.98,329085,12051,The Dresden Files,1.0
100,Elantris,Brandon Sanderson,2005,4.19,221834,11973,Elantris,1.0
101,The Lost Hero,Rick Riordan,2010,4.32,749259,11782,The Heroes of Olympus,1.0
102,Words of Radiance,Brandon Sanderson,2014,4.75,277234,11654,The Stormlight Archive,2.0
103,The Queen of Nothing,Holly Black,2019,4.37,400169,11620,The Folk of the Air,3.0
104,Sabriel,Garth Nix,1995,4.16,199515,11618,"Abhorsen,  ",1.0
105,The Silver Chair,C.S. Lewis,1953,3.96,272623,11557,Chronicles of Narnia,4.0
106,Caraval,Stephanie Garber,2016,4.0,296092,11349,Caraval,1.0
107,The Magicians,Lev Grossman,2009,3.52,251692,11325,The Magicians,1.0
108,A Discovery of Witches,Deborah Harkness,2011,4.01,446048,11314,All Souls,1.0
109,The Priory of the Orange Tree,Samantha Shannon,2019,4.23,112926,11279,The Roots of Chaos,1.0
110,Children of Blood and Bone,Tomi Adeyemi,2018,4.11,202401,11273,Legacy of Orïsha,1.0
111,Mockingjay,Suzanne Collins,2010,4.06,2808950,11196,The Hunger Games,3.0
112,The Last Battle,C.S. Lewis,1956,4.01,252990,11052,Chronicles of Narnia,7.0
113,Inkheart,Cornelia Funke,2003,3.9,403557,10949,Inkworld,1.0
114,The Shadow Rising,Robert Jordan,1992,4.26,207306,10908,The Wheel of Time,4.0
115,City of Fallen Angels,Cassandra Clare,2011,4.09,559206,10806,The Mortal Instruments,4.0
116,Artemis Fowl,Eoin Colfer,2001,3.86,531928,10716,Artemis Fowl,1.0
117,Empire of Storms,Sarah J. Maas,2016,4.56,345693,10652,Throne of Glass,5.0
118,Mort,Terry Pratchett,1987,4.23,223750,10532,Discworld,4.0
119,House of Earth and Blood,Sarah J. Maas,2020,4.48,314996,10419,Crescent City,1.0
120,A Court of Frost and Starlight,Sarah J. Maas,2018,3.8,438862,10366,A Court of Thorns and Roses,3.1
121,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1995,3.54,586026,10250,The Wicked Years,1.0
122,Poison Study,Maria V. Snyder,2005,4.1,159022,10136,Study,1.0
123,Spinning Silver,Naomi Novik,2018,4.21,108175,10098,,
124,Royal Assassin,Robin Hobb,1996,4.25,174347,10067,Farseer Trilogy,2.0
125,From Blood and Ash,Jennifer L. Armentrout,2020,4.28,329281,10030,Blood and Ash,1.0
126,Wizard's First Rule,Terry Goodkind,1994,4.12,240142,10014,Sword of Truth,1.0
127,Warbreaker,Brandon Sanderson,2009,4.3,157657,9994,Warbreaker,1.0
128,A Gathering of Shadows,V.E. Schwab,2016,4.24,156541,9876,Shades of Magic,2.0
