,title,author,pub_year,avg_rate,num_rate,shelved,series_name,series_num
0,Dune,Frank Herbert,1965,4.25,1128771,17356,Dune,1
1,Ender's Game,Orson Scott Card,1985,4.3,1273765,16692,Ender's Saga,1
2,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,4.23,1679109,15896,Hitchhiker's Guide to the Galaxy,1
3,The Martian,Andy Weir,2011,4.41,990146,14130,,
4,Ready Player One,Ernest Cline,2011,4.24,1044522,12187,Ready Player One,1
5,Fahrenheit 451,Ray Bradbury,1953,3.98,2098080,11942,,
6,1984,George Orwell,1949,4.19,3968565,11599,,
7,The Hunger Games,Suzanne Collins,2008,4.32,7605395,11439,The Hunger Games,1
8,Brave New World,Aldous Huxley,1932,3.99,1679609,10532,,
9,Foundation,Isaac Asimov,1951,4.17,487319,10185,Foundation,1
10,Do Androids Dream of Electric Sheep?,Philip K. Dick,1968,4.09,405960,9295,,
11,Catching Fire,Suzanne Collins,2009,4.3,3069935,8992,The Hunger Games,2
12,Mockingjay,Suzanne Collins,2010,4.06,2808858,8448,The Hunger Games,3
13,The Time Machine,H.G. Wells,1895,3.9,475165,7728,,
14,Neuromancer,William Gibson,1984,3.9,297831,7549,Sprawl,1
15,"I, Robot",Isaac Asimov,1950,4.21,318699,7224,Robot,0.1
16,Leviathan Wakes,James S.A. Corey,2011,4.28,226016,6979,The Expanse,1
17,The Three-Body Problem,Liu Cixin,2006,4.08,233011,6560,Remembrance of Earth’s Past,1
18,Jurassic Park,Michael Crichton,1990,4.07,890331,6475,Jurassic Park,1
19,Divergent,Veronica Roth,2011,4.16,3546767,6418,Divergent,1
20,The Handmaid's Tale,Margaret Atwood,1985,4.13,1801729,6362,The Handmaid's Tale,1
21,2001: A Space Odyssey,Arthur C. Clarke,1968,4.16,290745,6318,,
22,The War of the Worlds,H.G. Wells,1897,3.83,284137,6265,,
23,Stranger in a Strange Land,Robert A. Heinlein,1961,3.92,297694,6186,,
24,Hyperion,Dan Simmons,1989,4.25,220015,6131,Hyperion Cantos,1
25,The Restaurant at the End of the Universe,Douglas Adams,1980,4.21,263364,6114,Hitchhiker's Guide to the Galaxy,2
26,Cinder,Marissa Meyer,2012,4.13,832620,6050,The Lunar Chronicles,1
27,The Left Hand of Darkness,Ursula K. Le Guin,1969,4.09,152185,6018,Hainish Cycle,4
28,All Systems Red,Martha Wells,2017,4.16,153114,6003,The Murderbot Diaries,1
29,The Martian Chronicles,Ray Bradbury,1950,4.15,241051,5958,,
30,Slaughterhouse-Five,Kurt Vonnegut Jr.,1969,4.09,1265251,5841,,
31,Project Hail Mary,Andy Weir,2021,4.52,331893,5718,,
32,Speaker for the Dead,Orson Scott Card,1986,4.08,240578,5676,Ender's Saga,2
33,Speaker for the Dead,Orson Scott Card,1986,4.08,240578,5675,Ender's Saga,2
34,Snow Crash,Neal Stephenson,1992,4.03,261243,5637,,
35,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,1818,3.84,1390629,5636,,
36,Red Rising,Pierce Brown,2014,4.26,311677,5627,Red Rising Saga,1
37,Dune Messiah,Frank Herbert,1969,3.89,215333,5606,Dune,2
38,The Giver,Lois Lowry,1993,4.13,2177588,5520,The Giver,1
39,Foundation and Empire,Isaac Asimov,1952,4.22,185313,5399,Foundation,2
40,A Wrinkle in Time,Madeleine L'Engle,1962,3.99,1131894,5272,Time Quintet,1
41,"The Long Way to a Small, Angry Planet",Becky  Chambers,2014,4.17,113226,5065,Wayfarers,1
42,Second Foundation,Isaac Asimov,1953,4.26,168642,4937,Foundation,3
